Distance(au)                    Energy(au)
4.3451                    -0.968063207064
4.3498                    -0.967864707402
4.3545                    -0.967666697031
4.3591                    -0.967473372492
4.3638                    -0.96727632737
4.3685                    -0.967079768658
4.3732                    -0.966883695334
4.3778                    -0.966692262845
4.3825                    -0.966497147072
4.3872                    -0.966302513755
4.3919                    -0.966108361906
4.3965                    -0.965918806209
4.4012                    -0.965725604139
4.4059                    -0.965532880589
4.4106                    -0.965340634566
4.4153                    -0.96514886508
4.4199                    -0.964961636274
4.4246                    -0.964770806791
4.4293                    -0.964580450881
4.434                    -0.964390567549
4.4386                    -0.964205180932
4.4433                    -0.964016229763
4.448                    -0.963827748203
4.4527                    -0.963639735254
4.4574                    -0.96345218992
4.462                    -0.963269086749
4.4667                    -0.963082463754
4.4714                    -0.962896305399
4.4761                    -0.962710610696
4.4807                    -0.962529314938
4.4854                    -0.962344534722
4.4901                    -0.962160215187
4.4948                    -0.961976355337
4.4994                    -0.961796851561
4.5041                    -0.961613898352
4.5088                    -0.961431401892
4.5135                    -0.961249361162
4.5182                    -0.961067775177
4.5228                    -0.960890492109
4.5275                    -0.960709803004
4.5322                    -0.960529565725
4.5369                    -0.960349779265
4.5415                    -0.960174253605
4.5462                    -0.959995356295
4.5509                    -0.959816906865
4.5556                    -0.959638904368
4.5603                    -0.959461347813
4.5649                    -0.959287999934
4.5696                    -0.959111322897
4.5743                    -0.958935088703
4.579                    -0.958759296818
4.5836                    -0.958587672334
4.5883                    -0.958412752371
4.593                    -0.958238271627
4.5977                    -0.958064229145
4.6024                    -0.95789062397
4.607                    -0.957721135038
4.6117                    -0.957548392367
4.6164                    -0.957376084173
4.6211                    -0.957204209509
4.6257                    -0.957036410639
4.6304                    -0.956865391028
4.6351                    -0.956694802161
4.6398                    -0.956524643092
4.6444                    -0.95635851971
4.6491                    -0.956189208348
4.6538                    -0.956020324013
4.6585                    -0.955851865785
4.6632                    -0.955683832728
4.6678                    -0.955519785673
4.6725                    -0.955352591235
4.6772                    -0.95518579583
4.6819                    -0.955019446054
4.6865                    -0.954857042925
4.6912                    -0.954691524522
4.6959                    -0.954526178497
4.7006                    -0.954361507121
4.7053                    -0.954197253466
4.7099                    -0.95403689816
4.7146                    -0.95387346832
4.7193                    -0.953710453434
4.724                    -0.95354785257
4.7286                    -0.95338911131
4.7333                    -0.953227326947
4.738                    -0.953065953842
4.7427                    -0.952904991067
4.7473                    -0.952747849467
4.752                    -0.952587695889
4.7567                    -0.952427949881
4.7614                    -0.952268610517
4.7661                    -0.952109676873
4.7707                    -0.951954516772
4.7754                    -0.951796383214
4.7801                    -0.951638652628
4.7848                    -0.951481324093
4.7894                    -0.951327731399
4.7941                    -0.951171195701
4.7988                    -0.95101505932
4.8035                    -0.950859321335
4.8082                    -0.950703980837
4.8128                    -0.950552329468
4.8175                    -0.950397772793
4.8222                    -0.95024361089
4.8269                    -0.950089842833
4.8315                    -0.94993972696
4.8362                    -0.949786735592
4.8409                    -0.94963413539
4.8456                    -0.949481925456
4.8503                    -0.949330104889
4.8549                    -0.949181890714
4.8596                    -0.949030837959
4.8643                    -0.948880171882
4.869                    -0.948729891644
4.8736                    -0.948583181589
4.8783                    -0.948433662137
4.883                    -0.948284525872
4.8877                    -0.948135771901
4.8923                    -0.947990552243
4.897                    -0.947842552128
4.9017                    -0.947694931714
4.9064                    -0.94754769011
4.9111                    -0.947400826451
4.9157                    -0.947257452688
4.9204                    -0.947111334333
4.9251                    -0.946965591354
4.9298                    -0.946820222895
4.9344                    -0.946678309198
4.9391                    -0.946533679292
4.9438                    -0.946389421367
4.9485                    -0.946245534576
4.9532                    -0.946102018075
4.9578                    -0.945961912852
4.9625                    -0.945819126576
4.9672                    -0.945676708092
4.9719                    -0.945534656567
4.9765                    -0.945395981947
4.9812                    -0.945254654095
4.9859                    -0.9451136907
4.9906                    -0.944973090996
4.9952                    -0.944835834126
4.9999                    -0.944695951615
5.0046                    -0.944556430335
5.0093                    -0.944417270856
5.014                    -0.944278469571
5.0186                    -0.944142968949
5.0233                    -0.944004876861
5.028                    -0.943867141992
5.0327                    -0.943729763537
5.0373                    -0.943595652381
5.042                    -0.943458976825
5.0467                    -0.943322655313
5.0514                    -0.943186687054
5.0561                    -0.943051071258
5.0607                    -0.942918681443
5.0654                    -0.942783760756
5.0701                    -0.942649190193
5.0748                    -0.942514968971
5.0794                    -0.942383941042
5.0841                    -0.942250408777
5.0888                    -0.942117223531
5.0935                    -0.941984384536
5.0981                    -0.941854706436
5.1028                    -0.941722550294
5.1075                    -0.941590738104
5.1122                    -0.941459269087
5.1169                    -0.941328142472
5.1215                    -0.941200136624
5.1262                    -0.941069685305
5.1309                    -0.940939574121
5.1356                    -0.940809802307
5.1402                    -0.940683119481
5.1449                    -0.940554016946
5.1496                    -0.940425251519
5.1543                    -0.940296822434
5.159                    -0.940168728942
5.1636                    -0.940043685071
5.1683                    -0.939916253384
5.173                    -0.939789155041
5.1777                    -0.93966238928
5.1823                    -0.939538641984
5.187                    -0.939412532095
5.1917                    -0.939286752543
5.1964                    -0.939161302587
5.2011                    -0.93903618147
5.2057                    -0.93891404018
5.2104                    -0.938789567531
5.2151                    -0.93866542149
5.2198                    -0.938541601302
5.2244                    -0.938420730399
5.2291                    -0.938297552788
5.2338                    -0.938174698807
5.2385                    -0.938052167712
5.2431                    -0.93793255559
5.2478                    -0.937810661169
5.2525                    -0.937689087433
5.2572                    -0.937567833615
5.2619                    -0.937446898972
5.2665                    -0.93732884575
5.2712                    -0.937208540473
5.2759                    -0.937088552158
5.2806                    -0.936968880065
5.2852                    -0.936852059671
5.2899                    -0.936733011106
5.2946                    -0.936614276557
5.2993                    -0.936495855284
5.304                    -0.936377746559
5.3086                    -0.936262452705
5.3133                    -0.936144960227
5.318                    -0.936027778094
5.3227                    -0.935910905572
